x,y
987.7025,293.4114
991.2083,292.58334
995.8889,287.58334
1001.2945,278.4863
1006.0952,272.4524
1008.9568,273.9568
1013.32855,276.72858
1019.60144,277.471
1023.6781,276.95206
1027.6803,276.041
1031.8478,274.5435
1036.0352,270.9366
1039.838,267.1338
1044.1727,264.93637
1048.4286,263.92856
1051.5408,264.58163
1052.88,265.56
1052.2916,266
1051.2307,265.75
1050.6136,264.29544
1050.3163,263.13266
1051.037,263.68518
1051.7181,265.97272
1048,269.12964
1043.3529,273.22058
1038.641,278.91025
1033.6305,283.7029
1030.4714,287.97144
1026.05,296.2875
1019.1707,304.97562
1010.8012,309.1747
1004.2012,311.81033
998.7062,316.5103
990.1875,323.65625
982.90424,330.70212
975.3469,338
968.1126,345.23874
962.22644,350.01886
956.2143,355.52856
949.75,364.67
945.3039,378.08823
940.8469,387.65308
936.13336,391.4222
929.78424,398.76315
925.02527,409.35858
920.7889,424.1889
916.4158,440.24738
914.36316,454.14212
913.6875,463.6979
909.76086,467.27173
904.0455,468.10226
900.0972,468.1389
897.41113,465.96667
895.38763,463.10675
895.3434,461.3554
894.1477,460.0909
893.12366,458.73657
891.9762,457.36667
891.5102,455.76532
890.08,453.8
887.0816,451.8163
883.4794,449.37628
880.5886,447.4367
876.90814,445.5
871.9194,443.37097
867.3333,442.66666
845,441
861,441
854,443
851,446
846,449
845,453
845,458
845,463
845.2647,468.44116
847.0161,473.1129
845.5952,478.7381
843.8158,485.72806
840.7295,494.86066
836.53613,506.1988
829.2553,514.55316
821.33905,519.6494
817.8837,524.06976
816.36957,525.65216
812.9805,526.56494
808.78766,529.5822
808.0455,536.25757
813.93475,537.06525
818.34,539.6
821.7105,539.8684
823.8333,543.625
827.54596,546.9828
830.3046,547.75287
830.5899,546.0056
829.7472,544.2416
828.73254,542.5814
827.2143,538.9026
823.09155,532.6268
817.86487,526.7838
812.26056,522.10565
805.0781,516.78125
796.62964,511.33334
787.2647,506.89215
775.3772,501.92105
763.5,497.60526
770,496.5
742.5,495.95834
732.05383,494.26923
723.3642,493.05554
716.6539,491.46155
711.0972,490.9861
707.1705,491.13635
706.38763,490.94943
708.59186,491.64285
711.1637,492.73895
713.4292,491.96017
715.81915,491.2447
718.4355,488.5
719.54395,487.97253
720.34784,485.55435
720.075,482.1
719.8014,478.18494
718.42725,475.37274
715.9359,472.06412
713.67145,468.7857
711.64636,468.18292
709.6507,473.41782
706.59576,480.29788
701.4901,482.4901
692.551,482.5
679.7959,482.2755
666.1161,480.6518
654.11615,478.4394
644.57446,474.8617
636.88824,475.4294
631.2692,479.66483
624.79895,484.07733
619.03766,484.82257
612.45654,484.55435
604.6778,485.8
597.53156,486.32104
592.7069,485.6954
587.6948,486.01947
579.9625,489.5
572.45404,493.44254
564.882,498.9382
560.7759,502.52298
555.6,505.57144
549.2714,509.3857
543.226,513.8014
538.1962,517.2215
536.6625,515.25
535.54285,509.7857
533.91174,503.61765
533.3095,497.53174
531.3615,494.22308
530.7241,489.10345
532.4,479.22
534.5,468.6077
534.01666,460.31668
532.52,453.94
533.6475,448.12296
536.7985,442.41046
539.9697,437.04544
540.9143,430.48572
542.0741,422
544.76666,412.71667
544.09015,405.84427
540.18256,401.8492
533.9314,399.18628
529.82074,400.17926
530.5,396.1591
530,401
540.95764,399.90677
550.22095,398.31396
553,397
554,402.2143
551,405
546,406
530,407
510,410
488.97058,409.79413
471.8111,412.43332
458.16666,416.36365
448.99207,420.13492
442.71738,422.06522
436.1271,423.72034
429.5,426
420.53226,428.90323
413.11667,431.08334
406.05,429.9
397.5877,428.00876
388.3305,429.85593
381.7414,432.1207
374.4524,434.16666
364.7,437.41428
355.46826,439.94446
350.529,441.55798
345.97272,443.93637
338.51538,447.19232
329.18332,451.86667
319.9923,456.93076
314.35715,458.94897
305.2647,460.69608
297.97272,461.93637
289.25925,464.2037
284.11404,467.48245
281.66,470
276.91025,474.5
270.67075,478.7439
265.41837,482.0102
260.7,485
257.9138,486.94827
255.3,489.35
252.9375,491
252,493.5
250.5,498.5
251,530
253,505
253,509
251,510
250,511
246,511
250,517
250,518
250,523
250,527
253,530
254.78572,534.5
258.5,542.2931
263.89584,549.9375
271.4091,557.1667
279.4855,564.93475
285.89725,570.97943
289.05264,575.3158
289.7,577.25
286.40668,580.18
282.96033,585.6746
281.2381,591.8095
282.9762,599.1667
285.91177,605.14703
291.47333,609.35333
298.51538,613.2692
305.10605,617.4697
309.51352,622.62164
311.76154,627.5769
312.96478,633.6549
314.94595,638.86487
319.80554,643.4028
329.30768,649.4231
336.07144,655.5
342.88333,662.45
350.26923,667.45386
357.3154,675.83844
363.95312,685.6094
368.60605,695.9394
372.44366,702.8803
374.85135,707.4865
377.03622,712.2246
382.5,717.05554
388.22223,721.8889
393.14474,722.2895
396.09723,724.81946
397.41803,732.38525
400.0493,740.64087
403.67743,749.0323
404.35483,754.74194
401.9151,759.9528
400.4403,767.82837
402.0606,777.4394
405,784.15625
406.65384,790.3
408.94617,798.0231
412.97058,805.7941
414.41837,809.8469
413.375,814.0714
413.9655,819.62067
413.53775,826.5755
413.44547,832.9545
413.59525,838.119
412.81708,844.4268
412.0946,849.2838
412.63513,852.5541
412.43182,855.4545
411.6915,857.2234
410.88635,856.38635
410.2755,854.82654
409.63043,853.1739
409.38,849.82
408.70755,846.8019
407.63208,841.99054
407.161,838.12714
406.05768,839.38464
403.8871,841.2742
403.16666,838.0417
402.76154,833.16156
402.7857,828.4524
400.52042,823.0102
394.3889,817.7407
387.1111,812.3611
380.88235,805.5294
374,793.5
365,781
359,773
357,774
353,774
348,783
349,790
347,799
343,810
336,822
337,830
339,837
339,841
340,841
337,839
339,841
337,841
340,845
337,842
336,839
337,835
335,829
336,826
351,819
353,817
362.96667,812.63336
373.5,810.7917
386.25,807.13635
401.3913,801.13043
419.16666,793
437.90475,783.8095
457.38406,772.1377
470.525,764.45
478.61688,759.3312
481.81372,758.44116
482.05698,760.18353
482.1076,761.38605
483.6096,759.4863
488.4,755.47144
495.92856,751.84283
501.83334,745.94446
505.47058,740.2206
510.3209,735.35077
516.5789,731.3947
520.6525,723.88983
523.1539,712.25
527.931,702.2069
533.2,692.46
539.4524,683.5714
546.4107,676.3214
554.4016,670.38525
564.40625,665.3906
573.475,661.3625
580.79333,660.64667
587.0325,660.3701
595.4625,657.6375
598.2037,653.6235
600.2973,652.22974
605.62,652.82
610.74243,651.9091
618.44446,647.1667
631,639.1061
640.2037,630.5
642.75,621.43335
647.6831,612.9789
657.8823,604.91174
667.28314,594.4518
671.7857,583.5
676.43243,576.67566
683.2969,571.5469
692.38,566.42
697.75336,563.75336
703.5615,565.68463
710.5192,567.86536
717.7083,569.0833
726.7549,569.4804
733.7321,570.1071
739.3293,568.6951
742.4429,564.0714
748.1429,558.2143
755.0333,551.9667
758.5,547
762,543.5
763,538
767,530
772,519
775,517
775,513
775,510
775,506
776,506
775,501
772,497
775,494
780,483
783,483
785,479
788,473
787,469
791,465
787,463
784,454
781.8333,447.16666
779.8421,439.4737
779.31335,429.7
777.8837,419.63953
776.4888,412.85956
775.1092,408.60345
770.6795,405.03845
766.3605,401.5814
764.97125,396.86783
760.9583,395.75
756.2381,395.0357
753.3148,393.72223
751.875,390.84375
748.7308,388.30768
743.4367,386.4114
736.8485,383
728.5568,377.0909
721.6236,371.84833
716.16235,371.35715
708.7973,371.54053
698,369.36487
684.3734,366.08228
669.7439,364.85367
641.0714,370.88095
631.6852,373.16666
625.7653,374.7449
623.2692,374.8846
622.2222,376.6111
622.5476,379.0238
622.5476,379.11905
635.1,373.60666
628.5455,372.55682
617.4091,374.4091
604.4506,377.3642
594.06976,377.11627
587.3171,374.52438
583.4894,372.52127
580.83685,373.31052
578.5247,374.69754
575.3571,372.75974
569.0952,367.59525
561.3333,363.33334
556.18353,361.84177
554.23254,362.93024
551.5886,362.03165
547.86707,360.9304
543.6972,359.669
543,359.48486
543.4054,358.0811
542.1462,353.96155
539.1308,348.06924
533.4014,339.1338
527.22,331.71335
523.5267,328.63333
517.7308,324.01282
513.5,322.2957
511.45,319.45
511.52597,314.4091
513.3767,309.13013
515.98,305.74
517.5,301.05884
518.3873,296.79578
520.36664,296.94
523.5282,300.38733
527.7692,307.8718
534.6622,320.02704
542.20734,331.62195
550.0417,341.5139
558.6406,348.79688
567.36,352.18
569.9314,345.79413
567.0147,337.22058
561.2867,333.88666
554.4186,336.0465
548.1701,341.35568
543.5526,346.6579
538.9086,350.6183
534.37354,355.3161
528.61884,361.34158
520.5645,368.3387
512.4109,374.4703
506.7143,377.34525
502.93677,379.86783
498.96155,384.12637
492.5375,392.175
484.96835,401.8291
480.4889,410.9
478.38507,416.4655
478.78125,421.02084
481.25,425.42856
484.55554,426.33334
488.45123,425.5366
491.3125,423.85416
492.19073,421.74744
494.1699,419.99515
498.06076,417.6028
502.8084,415.6402
506.57144,414.32144
510.0464,413.9742
512.9,414.04
514.97473,415.11615
515.4375,417.5125
514.5959,419.82877
512.06525,422.5145
507.48334,424.86667
501.0283,426.19812
493.3871,425.90323
486.37143,422.7857
483.54938,419.46295
481.23172,415.2439
476.96835,410.94302
471.7857,408.4091
466.35715,406.2143
460.20422,403.7676
453.4189,402.8243
444.1087,401.55798
436.20834,400
423,397
411.4,397.53333
398.64706,396.89706
386.74075,392.66666
376.02173,386.44202
368.5645,378.48386
366.0849,372.00943
363.01514,367.65152
359.12686,366.00748
354.1769,365.1154
347.89474,361.4079
345.3356,358.5137
350.2711,359.1506
360.5597,362.87314
373.0357,366.17856
385.2907,368.31396
395.5,368.7439
403.16666,369
411.28125,370.6875
420.76666,373.8
429.77274,377
437.5,378.7857
440.5,378.5
438.92856,374.7857
432.14285,370.10715
426,365.5
422,368.07693
411.33636,363.17273
407.92624,367.31967
413.73685,377.73685
416.83334,385
420,394
423,398
427,399
424,398
424,405
421,409
416,410
417,418
420,421
424,419
425,418
431,417
433,417
437.4091,422.86365
437.58694,427.02173
436,429.5
434.8,428.4
434.6875,426.1875
433.42856,424.35715
430.9,423.3
429.4091,422.22726
429.14706,420.7353
430.1316,419.44736
430.125,420.16666
427.85,422.05
425.02942,423.2647
422.9091,423.77274
421.13635,422.72726
419.22223,421.5
418.13635,419.86365
420.22223,418.77777
424.0625,419.03125
428.17648,419.41177
432.2436,420.29486
440.34445,423.0778
448.41803,427.53278
453.27777,430.83334
457.16666,431.34128
463.7258,430.24194
470.61942,428.99252
475.83334,426.8611
479.03967,424.65872
479.85,422.51666
477.7586,420.43103
472.47778,418.47778
465.31818,416.22726
457.75,414.08334
449,410
439,407
433,405
428,405
425,405
420,405
413,401
410.25,397.41666
408.5,392.625
409.5,386.5
413.11224,381.35715
417.36667,376.05554
420.41306,369.63043
423.14584,363.95834
422.98148,357.05554
423.3734,351.29745
424.38095,345.89285
426.4326,339.76965
424.94302,331.84177
420.471,322.1377
416.64667,315.07333
412.58572,310.8
403.86667,305
393.67648,299.04413
385.78333,294.38333
378.5339,291.02542
369.75455,287.24545
362.35294,285.54413
357.97693,284.56152
354.1111,287.1111
349.19446,292.1389
344.375,297.575
339.69672,299.15573
337.86,300.62
337.18115,302.18115
337.7857,305.47144
339.9189,312.5946
342.5164,321.4836
346.7985,329.9179
355.51724,337.65518
360.96753,342.38312
359.7027,345.72974
356.5921,351.3684
355.725,361.075
356.78,371.88666
359.5,380.94446
360.43903,385.5366
359.03262,388.44565
355.98053,393.7857
355.14865,402.8243
353.56412,413.8846
354.6059,423.91177
359,430.3816
358.4762,434.36905
353.5,438.03845
356.5,456.5
354.2857,460
344.04053,447.45947
340.82352,449.9853
334.94595,453.7027
331.87976,456.96835
330.2324,460.64084
327.45834,466.66666
322.88358,475.774
321.58237,481.45294
323.57596,482.03165
322.84723,480.6389
321.09677,478.7742
318.15152,476.51514
315.63333,475.26666
315.4697,473.4697
317.00684,471.03424
321.06097,467.23172
325.75,467.9375
337.03705,467.12964
345.5,471.65625
355.05356,476.92856
366.22223,481.1111
376.22342,484.11703
383.38373,485.22092
388.16666,486.05554
392.1316,488.3158
396,488
404.5,488
410,486.5
415,490
418,496
421,508
428.96667,520.36664
435.63513,533.9054
441.57407,545.9074
445.94116,554
447.92105,560.8684
449.0122,568.2561
448.89474,575.5263
447.01282,584.7564
444.43332,593.76666
441.4091,600.93634
440.96774,606.6613
445,614.5484
456,619.8158
465.14935,620.9156
472.73376,617.82465
479.42307,614.53076
487.23016,616.0397
495.60938,616.9375
505.89343,618.43445
518.9286,617.1984
536.24194,614.7742
553.1508,613.881
567.43243,613.4459
579.2059,613.0294
587.4655,611.5115
594.0968,608.371
600.38635,608.6818
605.5135,605.13513
611.08026,602.7593
614.8647,599.7118
614.4028,594.8889
612.6875,591.9531
609.8571,588.7679
606.5,585.17346
603.82074,583.1226
599.37036,581.53705
591.5,577.5
580.5,572
568.5,566.5
557.76666,561.26666
548,555.2143
540.5,552.3
535.5,546.5
532,540
528,535
527,535
525.5,535.5
522.0641,535.9359
516.7245,534.949
512.9706,532.9314
511.0814,526.94183
509.8889,518.7778
508,508
508,504
504,495
500,487
495.5,485
490,490
501.83334,503.83334
482.5,502.5
479.07144,510.7857
475.1,519.7
469.83334,527.1667
463,535
453,538
447,540
442,536
439.5,536
440.73077,535.7308
444.68518,534.6111
450.01724,533.39655
456.625,531.59375
462.91177,527.6177
469.19232,521.03845
476.20587,509.79413
483.82812,496.34375
491.45947,483.63513
497.7361,471.59723
502.6579,460.6579
507.2763,449.67105
511.46512,438.72092
515.5135,429
521.0862,424.7931
529.875,424.65625
542.6177,427.08823
559,431
578,436
601.80554,441.6389
622.10565,444.11972
637.1667,442.52298
647.3372,440.34885
655.88635,440.4659
663.3837,442.9186
669.1667,445.00574
674.2455,446.33636
680.9396,447.52197
689.8222,447.55554
694.17413,446.28653
695.8488,444.0814
701.0795,444.51135
707.3182,446.375
713.01764,447.8412
722.4103,447.69232
734.7805,446.10974
750.10297,443.08823
764.85803,437.83334
775.8623,434.22464
786.42426,431.86365
799.5,429.05554
812.3451,427.02112
822.1286,427
831.31335,426.40668
839.89703,424.9853
849.1986,423.363
856.7,422.5353
863.16266,422.30722
872.44666,420.62
884.475,420.125
895.4032,415.98386
904,416.9375
912.34375,422.875
920.3788,424.72726
934.4091,426.12122
947.6447,428.0921
957.0789,429.4079
964.6358,429.78394
973.5875,429.9
983.83826,430
989.9844,429.98438
997.80304,430.60605
1005.3679,431.70755
1009.1607,431.35715
1013.8771,430.4508
1015.67645,429.89215
1016.3205,429.19232
1013.569,428.63794
1011.625,428.58334
1009.76666,428.56668
1003,428
997,426
990,423
989,421
990,420
987,418
985,420
982,421
981,420
979,420
977,417
978.4091,411.4091
981.2308,404.5
982.4403,395.03732
980.8421,385.19736
976.0579,376.47894
970.3506,368.94827
965.7414,362.0747
962.2273,352.875
957.52106,343.33157
955.4681,334.4149
953.81915,329.32977
950.3681,326.25824
948.625,322.4
947.38605,315.8671
946.0909,308.73865
941.019,303.05698
932.74,296.15332
923.5263,288.46054
913.7676,280.82394
902.15216,274.0942
892.93243,269.6216
887.179,268.51236
882.8111,269.5778
877.3049,270.4634
871.3765,273.6358
868.5449,276.75842
868.9421,279.88947
868.23334,286.03333
868.3625,290.1375
872.325,286.05
877.4875,277.5625
881.0517,272.5115
884.1582,269.4114
888.0733,264.72665
890.4,259.1625
892.26715,253.86986
895.92426,249.89394
900.42535,243.33582
903.54224,235.0493
904.575,228.1125
907.2231,224.45384
909.0968,221.3871
910.3143,215.02856
907.5476,213.15079
902.2867,217.11333
900.98193,219.39157
901.2586,219.46552
901.7245,221.7653
901.4136,225.2037
903.02325,225.53488
906.5618,226.18042
907.65955,228.60638
907.36584,228.69513
906.2317,227.35365
907.4136,224.53703
909.4524,221.35715
908.6807,222.37952
907.9568,224.45062
908.6429,224.20238
910.0357,222.82143
909.3947,222.88158
907.42773,222.30724
906.0513,220.52563
905,220
904.9054,222.94595
904.5,225.09459
905.3571,226.75714
907.4881,227.34525
909.00616,226.88272
908.6548,226.40475
908.4643,228.36905
910.6494,229.78735
912.4367,229.75316
913.63416,229.06097
913.8626,230.46703
915.25323,233.01949
917.78986,235.71739
920.8827,238.88272
924.9898,242.19388
928.4039,245.75
933.3586,248.35858
940,252
945.9167,259.0119
946.8125,266.25
949.83734,267.69278
950.225,266.2625
952.275,263.875
957,262.56097
963.1111,260.55554
967.89746,256.58975
971.3889,251.875
977.5,246.06923
984.4559,237.63235
991.4167,228.45833
996.13635,224.13637
1001.1667,220.6746
1007.5,216.3806
1012.6803,213.92622
1015.9074,213.75926
1021.6852,211.7963
1027.9565,209.26086
1034.2954,205.61363
1038.0814,202.52325
1042.4375,197.4375
1044.5927,192.85185
1045.9364,190.08182
1045,190.5
1043.2567,193.93243
1041.341,197.86363
1037.8636,201.83333
1035.7222,203.16667
1033,205.32143
1027.6538,213.03847
1024,223
1022,226
1024,225
1024,223
1025,222
1029,222
1033,220
1043,218
1043,222
1040,222
1038,222
1037,223
1035,222
1033,225
1032,228
1029,226
1032,230
1032,231
1030,233
1030,231
1033,231
1035,226
1038,225
1038,228
1037,228
1037,223
1043,220.5
1045.1875,219.375
1043.881,220.5
1039.2084,221.54167
1028.1923,218.53847
1005.0789,213.92105
969,209
932,212.5
904.9857,216.1
887.7292,216.75
869.24,213.98
850.1445,213.7889
831.5,217
810.2879,219.77272
786,225
761.03845,232.96153
733.1667,247.16667
702.7083,258.83334
676.9262,269.46722
659.7439,278.18292
651.6975,289.5247
642.4452,296.637
631.9286,298.25714
620.3406,296.36957
609.61426,294.12857
599.373,291.94446
585.9524,290.07144
567.875,287.6875
548,284.6154
531.9091,284.68182
516.69147,283.67023
502.64865,282.48648
493.69232,283.15384
489.40125,283.31482
481.18115,282.1087
469.51205,280.41565
460.46774,280.5645
456.2258,282.90323
451.78168,284.0634
444.93478,284.21014
431.96155,284.94617
420.9366,288.03522
416.16177,289.85294
409.06924,289.02307
398,287.10605
388.5408,285.11224
383.31818,281.33334
378.33334,276.51666
374.15518,273
371.2869,272.7131
371.0797,273.7029
377.4655,275.98276
383.36487,277.1757
386.45834,276.91666
388.06668,275.9
389,276.5
394.2143,279.35715
405.83334,283.3889
417,286.5
425,287
431,290
435.5,291.5
436.5909,297.13635
437,306.5
436.31082,317.68918
435.63333,332.03333
434,350
433.17606,369.88028
435.11053,386.00525
437.69388,397.06122
439.78735,402.75287
439.5435,404.31522
436.3919,405.06757
436.58334,399.46667
434.18182,396.61365
432.8619,394.03333
430.23914,392.36957
431.15216,393.73914
429.9557,395.4114
429.9945,400.1154
431.4149,403.04254
432.24713,402.58047
429.83722,402.38373
425.03845,405.43588
420.55682,412.25
417.97562,420.60974
416.82877,429.29453
418.3,436.48462
416.78378,445.8784
413.02704,455.3243
407.05405,464.97296
404.7639,472.15277
405.9,481.67142
404,492
404,503.5
401.03333,510.63333
400.94,515.3
405.5,519.5
411,529
414.9878,533.9146
420.05356,538.6786
429,541.44446
439.52042,540.90814
447.52563,538.29486
451.5357,536.6071
451.94827,535.81036
451.81818,533.13635
456.9,526.7
463,519
472,512
484,504
487,500
495,490
498,495
503,498
504,506
509,511
501,514
498,522
500,536
493,544
500,554
493,562
493,556
493,554
490,551
487,549
488,544
490,541
493,534.5
494.6,530.7
496,527
495,522
500,512
502.16666,501.16666
506.8125,491.6875
511.3889,484.16666
516.875,475.15
522.6754,466.1842
529.0278,462.08334
535.6818,462.68182
